Date Open High Low Close Volume AdjClose TrainTest 
1/2/1962 71.55 71.96 70.71 70.96 312 70.96 test
1/3/1962 70.96 71.48 70.38 71.13 359 71.13 train
1/4/1962 71.13 71.62 70.45 70.64 445 70.64 train
1/5/1962 70.64 70.84 69.35 69.66 463 69.66 test
1/8/1962 69.66 69.84 68.17 69.12 462 69.12 test
1/9/1962 69.12 69.93 68.83 69.15 360 69.15 train
1/10/1962 69.15 69.58 68.62 68.96 330 68.96 train
1/11/1962 68.96 69.54 68.57 69.37 339 69.37 train
1/12/1962 69.37 70.17 69.23 69.61 373 69.61 train
1/15/1962 69.61 69.96 69.06 69.47 345 69.47 train
1/16/1962 69.47 69.61 68.68 69.07 365 69.07 test
1/17/1962 69.07 69.31 68.13 68.32 378 68.32 test
1/18/1962 68.32 68.73 67.75 68.39 346 68.39 train
1/19/1962 68.39 70.08 68.14 68.75 380 68.75 train
1/22/1962 68.75 69.37 68.45 68.81 381 68.81 train
1/23/1962 68.81 68.96 68.0 68.29 335 68.29 train
1/24/1962 68.29 68.68 67.55 68.4 376 68.4 train
1/25/1962 68.4 69.05 68.1 68.35 356 68.35 train
1/26/1962 68.35 68.67 67.83 68.13 333 68.13 train
1/29/1962 68.13 68.5 67.55 67.9 305 67.9 test
1/30/1962 67.9 68.65 67.62 68.17 352 68.17 test
1/31/1962 68.17 69.09 68.12 68.84 384 68.84 train
2/1/1962 68.84 69.65 68.56 69.26 426 69.26 train
2/2/1962 69.26 70.02 69.02 69.81 395 69.81 train
2/5/1962 69.81 70.3 69.42 69.88 389 69.88 train
2/6/1962 69.88 70.32 69.41 69.96 365 69.96 test
2/7/1962 69.96 70.67 69.78 70.42 414 70.42 train
2/8/1962 70.42 70.95 70.16 70.58 381 70.58 train
2/9/1962 70.58 70.83 69.93 70.48 337 70.48 test
2/12/1962 70.48 70.81 70.14 70.46 262 70.46 train
2/13/1962 70.46 70.89 70.07 70.45 340 70.45 test
2/14/1962 70.45 70.79 70.03 70.42 363 70.42 train
2/15/1962 70.42 71.06 70.23 70.74 347 70.74 train
2/16/1962 70.74 71.13 70.27 70.59 370 70.59 train
2/19/1962 70.59 70.96 70.12 70.41 335 70.41 train
2/20/1962 70.41 70.91 70.13 70.66 330 70.66 train
2/21/1962 70.66 70.97 70.12 70.32 331 70.32 train
2/23/1962 70.32 70.57 69.73 70.16 323 70.16 train
2/26/1962 70.16 70.33 69.44 69.76 291 69.76 train
2/27/1962 69.76 70.32 69.48 69.89 311 69.89 train
2/28/1962 69.89 70.42 69.57 69.96 303 69.96 train
3/1/1962 69.96 70.6 69.76 70.2 296 70.2 train
3/2/1962 70.16 70.16 69.75 70.16 298 70.16 train
3/5/1962 70.16 70.48 69.65 70.01 302 70.01 train
3/6/1962 70.01 70.24 69.46 69.78 287 69.78 train
3/7/1962 69.78 70.07 69.37 69.69 289 69.69 train
3/8/1962 69.69 70.37 69.4 70.19 321 70.19 train
3/9/1962 70.19 70.71 70.0 70.42 334 70.42 train
3/12/1962 70.42 70.76 70.02 70.4 328 70.4 train
3/13/1962 70.4 70.86 70.06 70.6 320 70.6 train
3/14/1962 70.6 71.25 70.48 70.91 367 70.91 train
