Date           Open    High    Low     Close   Volume        Vol in 1Adj Close
       1/2/1962   71.55   71.96   70.71   70.96       3120000     312   70.96
       1/3/1962   70.96   71.48   70.38   71.13       3590000     359   71.13
       1/4/1962   71.13   71.62   70.45   70.64       4450000     445   70.64
       1/5/1962   70.64   70.84   69.35   69.66       4630000     463   69.66
       1/8/1962   69.66   69.84   68.17   69.12       4620000     462   69.12
       1/9/1962   69.12   69.93   68.83   69.15       3600000     360   69.15
      1/10/1962   69.15   69.58   68.62   68.96       3300000     330   68.96
      1/11/1962   68.96   69.54   68.57   69.37       3390000     339   69.37
      1/12/1962   69.37   70.17   69.23   69.61       3730000     373   69.61
      1/15/1962   69.61   69.96   69.06   69.47       3450000     345   69.47
      1/16/1962   69.47   69.61   68.68   69.07       3650000     365   69.07
      1/17/1962   69.07   69.31   68.13   68.32       3780000     378   68.32
      1/18/1962   68.32   68.73   67.75   68.39       3460000     346   68.39
      1/19/1962   68.39   70.08   68.14   68.75       3800000     380   68.75
      1/22/1962   68.75   69.37   68.45   68.81       3810000     381   68.81
      1/23/1962   68.81   68.96      68   68.29       3350000     335   68.29
      1/24/1962   68.29   68.68   67.55    68.4       3760000     376    68.4
      1/25/1962    68.4   69.05    68.1   68.35       3560000     356   68.35
      1/26/1962   68.35   68.67   67.83   68.13       3330000     333   68.13
      1/29/1962   68.13    68.5   67.55    67.9       3050000     305    67.9
      1/30/1962    67.9   68.65   67.62   68.17       3520000     352   68.17
      1/31/1962   68.17   69.09   68.12   68.84       3840000     384   68.84
       2/1/1962   68.84   69.65   68.56   69.26       4260000     426   69.26
       2/2/1962   69.26   70.02   69.02   69.81       3950000     395   69.81
       2/5/1962   69.81    70.3   69.42   69.88       3890000     389   69.88
       2/6/1962   69.88   70.32   69.41   69.96       3650000     365   69.96
       2/7/1962   69.96   70.67   69.78   70.42       4140000     414   70.42
       2/8/1962   70.42   70.95   70.16   70.58       3810000     381   70.58
       2/9/1962   70.58   70.83   69.93   70.48       3370000     337   70.48
      2/12/1962   70.48   70.81   70.14   70.46       2620000     262   70.46
      2/13/1962   70.46   70.89   70.07   70.45       3400000     340   70.45
      2/14/1962   70.45   70.79   70.03   70.42       3630000     363   70.42
      2/15/1962   70.42   71.06   70.23   70.74       3470000     347   70.74
      2/16/1962   70.74   71.13   70.27   70.59       3700000     370   70.59
      2/19/1962   70.59   70.96   70.12   70.41       3350000     335   70.41
      2/20/1962   70.41   70.91   70.13   70.66       3300000     330   70.66
      2/21/1962   70.66   70.97   70.12   70.32       3310000     331   70.32
      2/23/1962   70.32   70.57   69.73   70.16       3230000     323   70.16
      2/26/1962   70.16   70.33   69.44   69.76       2910000     291   69.76
      2/27/1962   69.76   70.32   69.48   69.89       3110000     311   69.89
      2/28/1962   69.89   70.42   69.57   69.96       3030000     303   69.96
       3/1/1962   69.96    70.6   69.76    70.2       2960000     296    70.2
       3/2/1962   70.16   70.16   69.75   70.16       2980000     298   70.16
       3/5/1962   70.16   70.48   69.65   70.01       3020000     302   70.01
       3/6/1962   70.01   70.24   69.46   69.78       2870000     287   69.78
       3/7/1962   69.78   70.07   69.37   69.69       2890000     289   69.69
       3/8/1962   69.69   70.37    69.4   70.19       3210000     321   70.19
       3/9/1962   70.19   70.71      70   70.42       3340000     334   70.42
      3/12/1962   70.42   70.76   70.02    70.4       3280000     328    70.4
      3/13/1962    70.4   70.86   70.06    70.6       3200000     320    70.6
      3/14/1962    70.6   71.25   70.48   70.91       3670000     367   70.91
      3/15/1962   70.91   71.44   70.59   71.06       3250000     325   71.06
      3/16/1962   71.06   71.34   70.67   70.94       3060000     306   70.94
      3/19/1962   70.94   71.31   70.53   70.85       3220000     322   70.85
      3/20/1962   70.85   71.08    70.4   70.66       3060000     306   70.66
      3/21/1962   70.66   70.93   70.16   70.51       3360000     336   70.51
      3/22/1962   70.51   70.84   70.14    70.4       3130000     313    70.4
      3/23/1962    70.4   70.78   70.12   70.45       3050000     305   70.45
      3/26/1962   70.45   70.63   69.73   69.89       3040000     304   69.89
      3/27/1962   69.89    70.2   69.41    69.7       3090000     309    69.7
      3/28/1962    69.7   70.33   69.54   70.04       2940000     294   70.04
      3/29/1962   70.04    70.5   69.81   70.01       2870000     287   70.01
      3/30/1962   70.01   70.09   69.16   69.55       2950000     295   69.55
       4/2/1962   69.55   69.82   69.13   69.37       2790000     279   69.37
       4/3/1962   69.37   69.53   68.53   68.81       3350000     335   68.81
       4/4/1962   68.81   69.22   68.33   68.49       3290000     329   68.49
       4/5/1962   68.49   69.09   68.12   68.91       3130000     313   68.91
       4/6/1962   68.91   69.42   68.58   68.84       2730000     273   68.84
       4/9/1962   68.84   69.02   68.09   68.31       3020000     302   68.31
      4/10/1962   68.31    68.8   67.94   68.56       2880000     288   68.56
      4/11/1962   68.56   69.26   68.24   68.41       3240000     324   68.41
      4/12/1962   68.41   68.43   67.47    67.9       3320000     332    67.9
      4/13/1962    67.9   68.11   67.03    67.9       3470000     347    67.9
      4/16/1962    67.9   68.19   67.21    67.6       3070000     307    67.6
      4/17/1962    67.6    68.2   67.24    67.9       2940000     294    67.9
      4/18/1962    67.9   68.72   67.83   68.27       3350000     335   68.27
      4/19/1962   68.27    68.9   68.07   68.59       3100000     310   68.59
      4/23/1962   68.59   69.01   68.17   68.53       3240000     324   68.53
      4/24/1962   68.53   68.91   68.16   68.46       3040000     304   68.46
      4/25/1962   68.46   68.58   67.53   67.71       3340000     334   67.71
      4/26/1962   67.71   67.97   66.92   67.05       3650000     365   67.05
      4/27/1962   67.05   67.61   65.99    66.3       4140000     414    66.3
      4/30/1962    66.3    66.9   64.95   65.24       4150000     415   65.24
       5/1/1962   65.24   65.94   63.76    65.7       5100000     510    65.7
       5/2/1962    65.7   66.67   65.56   65.99       3780000     378   65.99
       5/3/1962   65.99   66.93   65.81   66.53       3320000     332   66.53
       5/4/1962   66.53    66.8    65.8   66.24       3010000     301   66.24
       5/7/1962   66.24   66.56   65.66   66.02       2530000     253   66.02
       5/8/1962   66.02   66.13   64.88   65.17       3020000     302   65.17
       5/9/1962   65.17   65.17   64.02   64.26       3670000     367   64.26
      5/10/1962   64.26   64.39   62.99   63.57       4730000     473   63.57
      5/11/1962   63.57    64.1   62.44   62.65       4510000     451   62.65
      5/14/1962   62.65   63.31   61.11    63.1       5990000     599    63.1
      5/15/1962   63.41   64.87   63.41   64.29       4780000     478   64.29
      5/16/1962   64.29   64.88   63.82   64.27       3360000     336   64.27
      5/17/1962   64.27   64.41   63.38   63.93       2950000     295   63.93
      5/18/1962   63.93   64.14   63.29   63.82       2490000     249   63.82
      5/21/1962   63.82      64   63.21   63.59       2260000     226   63.59
      5/22/1962   63.59   63.69   62.26   62.34       3640000     364   62.34
      5/23/1962   62.34   62.42    60.9   61.11       5450000     545   61.11
      5/24/1962   61.11   61.79   60.36   60.62       5250000     525   60.62
      5/25/1962   60.62   60.98      59   59.47       6380000     638   59.47
      5/28/1962   59.15   59.15   55.42    55.5       9350000     935    55.5
      5/29/1962    55.5   58.29   53.13   58.08      14750000    1475   58.08
      5/31/1962    58.8   60.82    58.8   59.63      10710000    1071   59.63
       6/1/1962   59.63   59.96   58.52   59.38       5760000     576   59.38
       6/4/1962   59.12   59.12   57.14   57.27       5380000     538   57.27
       6/5/1962   57.27   58.42   56.33   57.57       6140000     614   57.57
       6/6/1962   57.64   59.17   57.64   58.39       4190000     419   58.39
       6/7/1962   58.39    58.9      58    58.4       2760000     276    58.4
       6/8/1962    58.4   58.97   58.14   58.45       2560000     256   58.45
      6/11/1962   58.45   58.58   57.51   57.82       2870000     287   57.82
      6/12/1962   57.66   57.66   56.23   56.34       4690000     469   56.34
      6/13/1962   56.34    56.8   55.24    55.5       5850000     585    55.5
      6/14/1962    55.5      56   54.12   54.33       6240000     624   54.33
      6/15/1962   54.33   55.96   53.66   55.89       7130000     713   55.89
      6/18/1962   55.89   56.53   54.97   55.74       4580000     458   55.74
      6/19/1962   55.74   55.88   54.98   55.54       2680000     268   55.54
      6/20/1962   55.54   55.92   54.66   54.78       3360000     336   54.78
      6/21/1962   54.78   54.78    53.5   53.59       4560000     456   53.59
      6/22/1962   53.59   53.78   52.48   52.68       5640000     564   52.68
      6/25/1962   52.68   52.96   51.35   52.45       7090000     709   52.45
      6/26/1962   52.45   53.58    52.1   52.32       4630000     463   52.32
      6/27/1962   52.32   52.83   51.77    52.6       3890000     389    52.6
      6/28/1962   52.98   54.64   52.98   54.41       5440000     544   54.41
      6/29/1962   54.41   55.47    54.2   54.75       4720000     472   54.75
       7/2/1962   54.75   56.02   54.47   55.86       3450000     345   55.86
       7/3/1962   55.86   56.74   55.57   56.49       3920000     392   56.49
       7/5/1962   56.49    57.1   56.15   56.81       3350000     335   56.81
       7/6/1962   56.73   56.73   55.64   56.17       3110000     311   56.17
       7/9/1962   56.17   56.73   55.54   56.55       2950000     295   56.55
      7/10/1962   56.99   58.36   56.99    57.2       7120000     712    57.2
      7/11/1962    57.2   57.95   56.77   57.73       4250000     425   57.73
      7/12/1962   57.73   58.67   57.59   58.03       5370000     537   58.03
      7/13/1962   58.03   58.18   57.23   57.83       3380000     338   57.83
      7/16/1962   57.83    58.1   57.18   57.83       3130000     313   57.83
      7/17/1962   57.83   57.96   56.68   56.78       3500000     350   56.78
      7/18/1962   56.78   56.81   55.86    56.2       3620000     362    56.2
      7/19/1962    56.2   56.95   55.96   56.42       3090000     309   56.42
      7/20/1962   56.42   57.09   56.27   56.81       2610000     261   56.81
      7/23/1962   56.81   57.32   56.53    56.8       2770000     277    56.8
      7/24/1962    56.8   56.93   56.14   56.36       2560000     256   56.36
      7/25/1962   56.36   56.67   55.78   56.46       2910000     291   56.46
      7/26/1962   56.46   57.18   56.16   56.77       2790000     279   56.77
      7/27/1962   56.77   57.36   56.56    57.2       2890000     289    57.2
      7/30/1962    57.2   57.98   57.08   57.83       3200000     320   57.83
      7/31/1962   57.83   58.58   57.74   58.23       4190000     419   58.23
       8/1/1962   58.23    58.3   57.51   57.75       3100000     310   57.75
       8/2/1962   57.75    58.2   57.38   57.98       3410000     341   57.98
       8/3/1962   57.98   58.32   57.63   58.12       5990000     599   58.12
       8/6/1962   58.12   58.35   57.54   57.75       3110000     311   57.75
       8/7/1962   57.75   57.81   57.07   57.36       2970000     297   57.36
       8/8/1962   57.36   57.64   56.76   57.51       3080000     308   57.51
       8/9/1962   57.51   57.88   57.19   57.57       2670000     267   57.57
      8/10/1962   57.57   57.85   57.16   57.55       2470000     247   57.55
      8/13/1962   57.55    57.9   57.22   57.63       2670000     267   57.63
      8/14/1962   57.63   58.43   57.41   58.25       3640000     364   58.25
      8/15/1962   58.25   59.11   58.22   58.66       4880000     488   58.66
      8/16/1962   58.66   59.11   58.24   58.64       4180000     418   58.64
      8/17/1962   58.64   59.24   58.43   59.01       3430000     343   59.01
      8/20/1962   59.01   59.72    58.9   59.37       4580000     458   59.37
      8/21/1962   59.37   59.66    58.9   59.12       3730000     373   59.12
      8/22/1962   59.12   59.93   58.91   59.78       4520000     452   59.78
      8/23/1962   59.78   60.33   59.47    59.7       4770000     477    59.7
      8/24/1962    59.7   59.92   59.18   59.58       2890000     289   59.58
      8/27/1962   59.58   59.94   59.24   59.55       3140000     314   59.55
      8/28/1962   59.55   59.61   58.66   58.79       3180000     318   58.79
      8/29/1962   58.79   58.96   58.17   58.66       2900000     290   58.66
      8/30/1962   58.66   59.06   58.39   58.68       2260000     226   58.68
      8/31/1962   58.68   59.25   58.45   59.12       2830000     283   59.12
       9/4/1962   59.12   59.49   58.44   58.56       2970000     297   58.56
       9/5/1962   58.56   58.77   57.95   58.12       3050000     305   58.12
       9/6/1962   58.12    58.6   57.72   58.36       3180000     318   58.36
       9/7/1962   58.36    58.9   58.09   58.38       2890000     289   58.38
      9/10/1962   58.38   58.64   57.88   58.45       2520000     252   58.45
      9/11/1962   58.45   58.93   58.17   58.59       3040000     304   58.59
      9/12/1962   58.59   59.06    58.4   58.84       3100000     310   58.84
      9/13/1962   58.84   59.18   58.46    58.7       3100000     310    58.7
      9/14/1962    58.7   59.14    58.4   58.89       2880000     288   58.89
